id,chronological_order,working_title,one_line_summary,life_stage,story_arc,characters,locations,themes,source_tier,primary_work,primary_book,primary_chapter,verse_range,festival_tags,age_sensitivity,estimated_story_strength,visual_potential,independent_story_score,source_confidence,variant_notes
DKS_0042,42,Narada Curses Nalakuvara and Manigriva,"Drunk and naked in a river with celestial women, Kubera's sons insult Narada, who curses them to become twin arjuna trees until Krishna's touch frees them.",other,vrindavan_childhood,Narada; Nalakuvara; Manigriva,Kailasa; Ganga river,curse; pride; forgiveness,A,"Srimad Bhagavata Purana (Sanskrit, GRETIL)",10,10,1-22,,all,3,3,2,5,
DKS_0043,43,The Cowherds Settle in Vrindavan,"The cowherd community journeys with their herds and carts and settles in Vrindavan, forming their camp in a crescent of wagons.",vrindavan,vrindavan_childhood,Nanda; Yasoda; cowherds; Krishna; Balarama,Vrindavan,migration; new_home,A,"Srimad Bhagavata Purana (Sanskrit, GRETIL)",10,11,31-35,,all,3,4,2,5,
DKS_0044,44,Krishna Slays the Calf-Demon Vatsasura,"The boys take up calf-herding, and Krishna seizes the demon Vatsasura, who has taken the form of a calf, and hurls him dead into a kapittha tree.",vrindavan,vrindavan_childhood,Krishna; Balarama; Vatsasura,Vrindavan,protecting_the_herd; divine_strength,A,"Srimad Bhagavata Purana (Sanskrit, GRETIL)",10,11,36-44,,mild_violence,4,4,3,5,
DKS_0045,45,Krishna Slays the Crane-Demon Bakasura,"The crane-demon Bakasura, Kamsa's ally, swallows Krishna, but Krishna burns and tears him apart and frees himself.",vrindavan,vrindavan_childhood,Krishna; Bakasura; Balarama,Vrindavan,deliverance; divine_power,A,"Srimad Bhagavata Purana (Sanskrit, GRETIL)",10,11,46-52,,mild_violence,5,5,4,5,
DKS_0046,46,Aghasura Becomes a Giant Python,"Aghasura, brother of Putana and Bakasura, takes the form of a vast python and lies with open mouth across the path of the boys.",vrindavan,vrindavan_childhood,Aghasura; Krishna; cowherd boys,Vrindavan,deception; danger,A,"Srimad Bhagavata Purana (Sanskrit, GRETIL)",10,12,12-24,,mild_violence,4,4,3,5,
DKS_0047,47,Krishna Kills Aghasura and Revives His Friends,"Entering the demon's throat with his friends, Krishna expands and chokes Aghasura to death, then revives the swallowed boys and calves; the demon's soul merges into Krishna as a great light.",vrindavan,vrindavan_childhood,Krishna; Aghasura; cowherd boys,Vrindavan,rescue; divine_power; liberation,A,"Srimad Bhagavata Purana (Sanskrit, GRETIL)",10,12,25-35,,mild_violence,5,5,4,5,
DKS_0048,48,Brahma Steals the Calves and Boys,"While Krishna searches for the strayed calves, Brahma, wanting to test the Lord, carries off all the calves and cowherd boys and hides them.",vrindavan,vrindavan_childhood,Brahma; Krishna,Vrindavan,divine_test; concealment,A,"Srimad Bhagavata Purana (Sanskrit, GRETIL)",10,13,11-16,,all,4,4,3,5,
DKS_0049,49,Krishna Expands Into All the Calves and Boys,"To console their mothers, Krishna himself becomes every missing calf and boy, and for a year plays their roles in the cowherd homes.",vrindavan,vrindavan_childhood,Krishna; cowherd boys; gopis,Vrindavan,omniscience; motherly_love,A,"Srimad Bhagavata Purana (Sanskrit, GRETIL)",10,13,17-26,,all,5,4,4,5,
DKS_0050,50,Brahma Is Bewildered and Worships Krishna,"Returning after a moment of his time, Brahma finds everything as before and, seeing all the boys as four-armed forms of Vishnu, falls at Krishna's feet in humility.",vrindavan,vrindavan_childhood,Brahma; Krishna,Vrindavan,humility; maya; wonder,A,"Srimad Bhagavata Purana (Sanskrit, GRETIL)",10,13,27-63,,all,4,4,3,5,
DKS_0051,51,Brahma Praises Krishna and Departs,"Brahma hymns Krishna's boundless glories, confesses his own arrogance, and returns to his abode after circumambulating the Lord.",vrindavan,vrindavan_childhood,Brahma; Krishna,Vrindavan,praise; humility,A,"Srimad Bhagavata Purana (Sanskrit, GRETIL)",10,14,1-41,,all,2,3,1,5,
DKS_0052,52,The Boys Resume Their Meal Unaware of the Lost Year,"Krishna returns the boys and calves as before, and, though a year had passed, to them it seemed but a moment, and they finish their picnic and go home.",vrindavan,vrindavan_childhood,Krishna; cowherd boys,Vrindavan,illusion; timelessness,A,"Srimad Bhagavata Purana (Sanskrit, GRETIL)",10,14,41-47,,all,3,3,2,5,
DKS_0053,53,The Boys Long for the Palm Grove's Fruit,"The cowherd boys ask Krishna and Balarama to take them to the talavana, whose sweet fruit is guarded by the donkey-demon Dhenuka.",vrindavan,vrindavan_childhood,Krishna; Balarama; cowherd boys; Dhenuka,Vrindavan,desire; obstacle,A,"Srimad Bhagavata Purana (Sanskrit, GRETIL)",10,15,20-26,,mild_violence,3,3,2,5,
DKS_0054,54,Balarama Slays the Ass-Demon Dhenuka,"Balarama shakes the palm trees to bring down the fruit, and when Dhenuka charges, he seizes the donkey and dashes it lifeless against a palm.",vrindavan,vrindavan_childhood,Balarama; Krishna; Dhenuka,Vrindavan,courage; deliverance,A,"Srimad Bhagavata Purana (Sanskrit, GRETIL)",10,15,27-34,,mild_violence,4,4,3,5,BP attributes the deed jointly to Balarama; VP to Rama alone.
DKS_0055,55,Krishna and Balarama Clear the Grove of Dhenuka's Kin,"As Dhenuka's kin charge to avenge him, Krishna and Balarama slay them all, and men and beasts freely enjoy the grove.",vrindavan,vrindavan_childhood,Krishna; Balarama,Vrindavan,deliverance; abundance,A,"Srimad Bhagavata Purana (Sanskrit, GRETIL)",10,15,35-40,,mild_violence,4,4,3,5,
DKS_0056,56,Krishna Swallows the Forest Fire at Night,"As a forest fire surrounds the sleeping settlement at night, the villagers call on Krishna, who drinks up the fierce flames.",vrindavan,vrindavan_childhood,Krishna; cowherds,Vrindavan,rescue; divine_power,A,"Srimad Bhagavata Purana (Sanskrit, GRETIL)",10,17,20-24,,mild_violence,4,5,4,5,
DKS_0057,57,Pralamba Joins the Games in Disguise,"The demon Pralamba, intent on seizing the boys, joins their play disguised as a cowherd, and Krishna, knowing him, allows it, planning his death.",vrindavan,vrindavan_childhood,Pralamba; Krishna; Balarama,Vrindavan,deception; divine_knowledge,A,"Srimad Bhagavata Purana (Sanskrit, GRETIL)",10,18,16-18,,mild_violence,3,3,2,5,
DKS_0058,58,Balarama Slays the Demon Pralamba,"In the riding game, Pralamba carries Balarama far off and reveals his terrible form, but Balarama strikes his head with a mighty fist and fells him dead.",vrindavan,vrindavan_childhood,Balarama; Pralamba; Krishna,Vrindavan,victory; strength,A,"Srimad Bhagavata Purana (Sanskrit, GRETIL)",10,18,19-29,,mild_violence,4,4,4,5,
DKS_0059,59,The Cattle Stray Into the Munja Forest and a Wildfire Breaks Out,"While the boys play, the cattle wander into a dense grove of munja grass, and a fierce wildfire springs up around them.",vrindavan,vrindavan_childhood,Krishna; Balarama; cowherds; cattle,Vrindavan,danger; separation,A,"Srimad Bhagavata Purana (Sanskrit, GRETIL)",10,19,1-8,,mild_violence,4,4,3,5,
DKS_0060,60,Krishna Swallows the Wildfire and Saves the Herd,"Krishna bids the terrified cowherds close their eyes, drinks up the flames, and, when they open them, they stand safe at Bhandira.",vrindavan,vrindavan_childhood,Krishna; cowherds; cattle,Vrindavan; Bhandira,rescue; faith,A,"Srimad Bhagavata Purana (Sanskrit, GRETIL)",10,19,9-13,,mild_violence,5,5,4,5,
DKS_0061,61,Krishna Enjoys the Monsoon Pastures,"Krishna and Balarama enter the rain-washed forest with the herd, and the boys share a simple meal of curd-rice with him on a rock.",vrindavan,vrindavan_childhood,Krishna; Balarama; cowherd boys,Vrindavan,joy; nature; companionship,A,"Srimad Bhagavata Purana (Sanskrit, GRETIL)",10,20,24-30,,all,3,4,2,5,
DKS_0062,62,The Cowherds Wonder at Krishna's Deeds,"Astonished at Krishna's deeds, the cowherds wonder how a boy could do such things, and Nanda reassures them with Garga's words.",vrindavan,vrindavan_childhood,cowherds; Nanda; Garga; Krishna,Vrindavan,wonder; prophecy,A,"Srimad Bhagavata Purana (Sanskrit, GRETIL)",10,26,1-23,,all,3,2,3,5,BP adds Nanda recounting Garga's prophecy.
DKS_0063,63,Nanda Is Seized by Varuna and Rescued,A servant of Varuna seizes Nanda as he bathes at night; Krishna goes to Varuna's abode and frees him.,vrindavan,vrindavan_childhood,Nanda; Varuna; Krishna,Yamuna; Varuna's abode,rescue; grace,A,"Srimad Bhagavata Purana (Sanskrit, GRETIL)",10,28,1-8,,all,4,4,4,5,
DKS_0064,64,Krishna Reveals His Supreme Abode,"Krishna shows the cowherds his own abode beyond darkness, the eternal Brahman-light.",vrindavan,vrindavan_childhood,Krishna; cowherds,Vrindavan,revelation; liberation,A,"Srimad Bhagavata Purana (Sanskrit, GRETIL)",10,28,9-16,,all,4,5,3,5,
DKS_0065,65,Shankhachuda Abducts the Gopis,"As Krishna and Balarama sing in the forest, the demon Shankhachuda carries off the gopis.",vrindavan,vrindavan_childhood,Shankhachuda; Krishna; Balarama; gopis,Vrindavan forest,abduction; pursuit,A,"Srimad Bhagavata Purana (Sanskrit, GRETIL)",10,34,19-27,,all,4,4,3,5,
DKS_0066,66,Krishna Slays Shankhachuda and Takes the Jewel,"Krishna overtakes the demon, strikes him dead and gives the crest-jewel to Balarama.",vrindavan,vrindavan_childhood,Krishna; Balarama; Shankhachuda,Vrindavan forest,victory; gift,A,"Srimad Bhagavata Purana (Sanskrit, GRETIL)",10,34,28-31,,mild_violence,4,4,4,5,
DKS_0067,67,Krishna Slays the Bull-Demon Arishta,The bull-demon Arishta terrorizes Vrindavan until Krishna seizes and slays him.,vrindavan,vrindavan_childhood,Krishna; Arishta,Vrindavan,demon-slaying; protection,A,"Srimad Bhagavata Purana (Sanskrit, GRETIL)",10,36,1-14,,mild_violence,4,4,4,5,
DKS_0068,68,Krishna Slays the Horse-Demon Keshi,"The horse-demon Keshi attacks, and Krishna thrusts his arm into its mouth until it chokes and dies.",vrindavan,vrindavan_childhood,Krishna; Keshi,Vrindavan,demon-slaying,A,"Srimad Bhagavata Purana (Sanskrit, GRETIL)",10,37,1-7,,mild_violence,4,4,4,5,
DKS_0069,69,Krishna Slays the Demon Vyoma,"The demon Vyoma, disguised as a cowherd, carries off boys and seals them in a cave; Krishna slays him and frees them.",vrindavan,vrindavan_childhood,Krishna; Vyoma; cowherd boys,Vrindavan,rescue; demon-slaying,A,"Srimad Bhagavata Purana (Sanskrit, GRETIL)",10,37,24-32,,mild_violence,3,3,3,5,
DKS_0070,70,Krishna Resolves to Subdue the Serpent Kaliya,"Finding the Yamuna's lake poisoned by the serpent-king Kaliya, Krishna resolves to leap in and vanquish him.",vrindavan,kaliya_and_yamuna,Krishna; Kaliya,Yamuna lake,courage; resolve,A,"Harivamsha (Dutt, Gutenberg #61937)",1,66,,,all,3,3,3,4,HV-specific precursor; see 'kaliya_leap'.
DKS_0071,71,Krishna Revives the Cowherds from Poisoned Water,Thirsty cowherds and cattle drink the poisoned waters of the Yamuna and die; Krishna revives them all with a glance of nectar.,vrindavan,kaliya_and_yamuna,Krishna; cowherds; cattle,Yamuna river,healing; compassion,A,"Srimad Bhagavata Purana (Sanskrit, GRETIL)",10,15,46-51,,all,4,4,3,5,
